书名,详情链接,作者,评分,建平
我的阿勒泰,https://book.douban.com/subject/4884218/,李娟 ,8.8,['描写疆北阿勒泰地区生活和风情的原生态散文集']
四世同堂,https://book.douban.com/subject/3183775/,老舍 ,9.3,['北平沦陷时代广大平民的悲惨遭遇']
渴望生活,https://book.douban.com/subject/3054821/,[美] 欧文·斯通 ,9.2,['梵高悲惨而成就辉煌的人生']
麦琪的礼物,https://book.douban.com/subject/1051193/,[美] 欧·亨利 ,8.6,['日常的奇迹']
激荡三十年,https://book.douban.com/subject/3151575/,吴晓波 ,8.6,['中国企业1978—2008']
半生缘,https://book.douban.com/subject/1963684/,张爱玲 ,8.6,['世钧，我们回不去了']
万物有灵且美,https://book.douban.com/subject/4187411/,[英] 吉米·哈利 ,8.8,['活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事']
阿勒泰的角落,https://book.douban.com/subject/4881850/,李娟 ,9.1,['白雪和阳光，青草和白桦林']
小径分岔的花园,https://book.douban.com/subject/25796120/,[阿根廷] 豪·路·博尔赫斯 ,8.9,['一个谜语，谜底正是时间']
尼罗河上的惨案,https://book.douban.com/subject/1818347/,[英] 阿加莎·克里斯蒂 ,8.7,['阿加莎·克里斯蒂代表作']
德米安,https://book.douban.com/subject/3578470/,[德] 赫尔曼·黑塞 ,9.0,['少年辛克莱寻找通向自身之路的艰辛历程']
故事,https://book.douban.com/subject/25976544/,[美] 罗伯特·麦基 ,9.2,['材质、结构、风格和银幕剧作的原理']
霸王别姬,https://book.douban.com/subject/1088711/,李碧华 ,9.1,['人间，只是抹去了脂粉的脸']
受戒,https://book.douban.com/subject/1760432/,汪曾祺 ,9.3,['江南乡镇民间生活，健康淳朴的人性']
天朝的崩溃,https://book.douban.com/subject/1675478/,茅海建 ,9.1,['鸦片战争再研究']
罗生门,https://book.douban.com/subject/3136271/,[日]芥川龙之介 ,8.7,['人生，远比地狱更像地狱']
总统是靠不住的,https://book.douban.com/subject/1056315/,林达 ,8.8,['美国政治法律制度的基本原理和操作细节']
社会心理学,https://book.douban.com/subject/1476651/,[美] 戴维·迈尔斯 ,9.0,['人们是如何思索、影响他人并与他人建立联系的']
民主的细节,https://book.douban.com/subject/3813669/,刘瑜 ,8.6,['公民养成手册']
我不知道该说什么，关于死亡还是爱情,https://book.douban.com/subject/25884880/,S.A.阿列克谢耶维奇 ,9.0,['真实记录切尔诺贝利核灾难事件']
全球通史,https://book.douban.com/subject/10583099/,(美) 斯塔夫里阿诺斯 ,9.1,['从史前史到21世纪']
罪与罚,https://book.douban.com/subject/1858568/,[俄] 陀思妥耶夫斯基 ,9.1,['描绘人内心的全部深度']
一句顶一万句,https://book.douban.com/subject/3633461/,刘震云 ,8.7,['一句胜过千年']
