电影名称,详情链接,颗星,评分,评分人数
幸福终点站,https://movie.douban.com/subject/1292274/,rating45-t,8.8,397127人评价
菊次郎的夏天,https://movie.douban.com/subject/1293359/,rating45-t,8.8,377148人评价
爱在日落黄昏时,https://movie.douban.com/subject/1291990/,rating45-t,8.8,369496人评价
恐怖直播,https://movie.douban.com/subject/21360417/,rating45-t,8.8,463106人评价
完美的世界,https://movie.douban.com/subject/1300992/,rating45-t,9.1,188989人评价
功夫,https://movie.douban.com/subject/1291543/,rating45-t,8.6,699526人评价
人生果实,https://movie.douban.com/subject/26874505/,rating5-t,9.5,102530人评价
神偷奶爸,https://movie.douban.com/subject/3287562/,rating45-t,8.6,720915人评价
怪兽电力公司,https://movie.douban.com/subject/1291579/,rating45-t,8.7,472744人评价
玩具总动员3,https://movie.douban.com/subject/1858711/,rating45-t,8.8,366349人评价
傲慢与偏见,https://movie.douban.com/subject/1418200/,rating45-t,8.6,561388人评价
血战钢锯岭,https://movie.douban.com/subject/26325320/,rating45-t,8.7,589557人评价
天书奇谭,https://movie.douban.com/subject/1428581/,rating45-t,9.2,154245人评价
风之谷,https://movie.douban.com/subject/1291585/,rating45-t,8.9,285504人评价
教父3,https://movie.douban.com/subject/1294240/,rating45-t,8.9,253411人评价
时空恋旅人,https://movie.douban.com/subject/10577869/,rating45-t,8.7,404367人评价
上帝之城,https://movie.douban.com/subject/1292208/,rating45-t,8.9,234127人评价
电锯惊魂,https://movie.douban.com/subject/1417598/,rating45-t,8.7,367578人评价
釜山行,https://movie.douban.com/subject/25986180/,rating45-t,8.5,835695人评价
被解救的姜戈,https://movie.douban.com/subject/6307447/,rating45-t,8.7,446934人评价
哪吒闹海,https://movie.douban.com/subject/1307315/,rating45-t,9.1,180435人评价
喜宴,https://movie.douban.com/subject/1303037/,rating45-t,8.9,245314人评价
七武士,https://movie.douban.com/subject/1295399/,rating45-t,9.2,137743人评价
英雄本色,https://movie.douban.com/subject/1297574/,rating45-t,8.7,369284人评价
谍影重重3,https://movie.douban.com/subject/1578507/,rating45-t,8.8,314804人评价
我是山姆,https://movie.douban.com/subject/1306861/,rating45-t,8.9,222087人评价
哈利·波特与阿兹卡班的囚徒,https://movie.douban.com/subject/1291544/,rating45-t,8.7,411304人评价
岁月神偷,https://movie.douban.com/subject/3792799/,rating45-t,8.7,466103人评价
头号玩家,https://movie.douban.com/subject/4920389/,rating45-t,8.7,1035865人评价
纵横四海,https://movie.douban.com/subject/1295409/,rating45-t,8.8,297458人评价
